City_ID,city,lat,lng,max_temp,humidity,cloudiness,speed,country,date
225,kuching,110.3333,1.55,79.05,100,40,2.3,MY,1672682290
226,malaya purga,53.0043,56.5567,22.89,87,96,14.97,RU,1672682348
227,harper,-7.7169,4.375,81.52,65,3,8.12,LR,1672682349
228,sola,167.55,-13.8833,82.09,78,100,24.49,VU,1672682349
229,camacha,-16.3333,33.0833,58.42,67,40,10.36,PT,1672682350
230,los llanos de aridane,-17.9182,28.6585,67.12,81,40,6.91,ES,1672682351
231,eyl,49.8164,7.9803,76.93,65,8,19.69,SO,1672682351
232,laela,32.05,-8.5667,62.24,76,23,3.2,TZ,1672682352
233,vanimo,141.3028,-2.6741,77.0,90,81,5.44,PG,1672682352
234,suda,37.5582,59.1525,28.51,89,66,12.37,RU,1672682353
235,mountain home,-115.6912,43.133,29.14,88,75,5.01,US,1672682353
236,moerai,-151.3333,-22.4333,79.43,83,99,19.35,PF,1672682354
237,inhambane,35.3833,-23.865,75.18,94,75,3.44,MZ,1672682249
238,ossora,163.0719,59.2353,-1.48,96,99,11.07,RU,1672682354
239,lianyuan,111.6642,27.6883,43.27,66,93,3.22,CN,1672682355
240,dawson creek,-120.2362,55.7666,26.92,90,99,2.84,CA,1672682356
241,jinxiang,120.6062,27.4327,51.35,80,100,13.04,CN,1672682356
242,manuk mangkaw,119.85,4.8,80.73,79,90,14.58,PH,1672682356
243,bay roberts,-53.2648,47.5999,33.33,86,100,8.99,CA,1672682357
244,tabanan,115.1252,-8.5413,81.0,88,100,10.09,ID,1672682357
245,waipawa,175.5153,-41.4122,55.24,90,61,6.4,NZ,1672682167
246,oistins,-59.5333,13.0667,84.29,65,40,21.85,BB,1672682358
247,gulbene,26.7529,57.1777,34.14,97,100,8.3,LV,1672682359
248,san quintin,-115.95,30.4833,59.5,56,84,10.29,MX,1672682359
249,qinhuangdao,119.5883,39.9317,21.63,25,1,6.02,CN,1672682360
250,mezen,44.24,65.8522,-2.18,97,95,7.67,RU,1672682360
251,thanh hoa,105.7667,19.8,62.55,68,99,3.53,VN,1672682361
252,vila velha,-40.2925,-20.3297,75.15,88,75,6.91,BR,1672682361
